Basler_acA2040-55uc
Tracking height (px): 500 | Tracking width (px): 500
File creation timestamp:  2017-11-28 15:24:4
frame,cam_timestamp,green_x,green_y,red_x,red_y
322,95606747985348,463.909,108.636,450.667,72.3333
323,95606778500910,464,110,449.5,73.5
324,95606793347697,463,112,448.667,74.3333
325,95606824857750,463.2,110.2,448.333,74.6667
326,95606841244833,462.615,110.615,448,75.5
327,95606857243116,463.333,110.833,447,76
328,95606872076781,463.5,110.5,444.667,77.6667
329,95606887538871,466,109.5,442,79.5
330,95606904199842,465.667,108.167,438.5,83
331,95606918898102,466.455,106.636,435.5,87
332,95606934645042,465,106,432.333,91.3333
333,95606949425679,463.5,106,429,94
334,95606981196039,457.769,108.538,423.833,94.6667
335,95606997623595,449.3,114.6,417.6,96.8
336,95607012722211,441.833,119.417,412.25,101
337,95607029196423,435.5,127.25,406.2,105.2
338,95607044898867,425,136,401,110
339,95607059681583,420,140.6,395.8,116.6
340,95607090131940,416,145,390.286,122.286
341,95607105861249,406.5,151.75,384.833,127.5
342,95607122311323,400.5,157.25,378.4,132.2
343,95607137844774,394.375,162.75,371,137
344,95607153548136,390.667,166.556,364.4,141.2
345,95607169252713,384,172.455,358.6,145.8
346,95607183906369,377.75,176.5,353,150
347,95607215469504,374.167,180.333,347.8,153.8
348,95607231629085,368.333,184.889,343.667,157.667
349,95607262689534,362,191,336,164.5
350,95607278944317,354.625,194.75,332.5,168
351,95607294948162,348.833,198.667,328.6,170.6
352,95607310537422,344.25,202.333,324.2,172.6
353,95607341093565,340,206,320,174.5
354,95607371360754,332,210.5,312,179.333
355,95607387071811,324.636,214.455,308,182
356,95607403751736,319.9,218.1,304.333,184.333
357,95607418346775,315,220.538,300.2,187.6
358,95607434102058,310.167,224.333,296.5,190
359,95607450763839,305,226.417,293,192.5
360,95607481328001,300,230.455,289,195.667
361,95607497978928,296.231,232.231,286,197.5
362,95607513171882,291,234.545,282.5,200
363,95607543681720,280.1,240.1,276,203.5
364,95607560254374,274.231,242.231,272.2,205.6
365,95607576072270,268.714,244.643,267.4,208.4
366,95607605724939,265.143,246.714,262.2,212.2
367,95607621533763,258.5,249.833,256.6,216.8
368,95607636880509,252.769,252.769,251.333,220.833
369,95607652584438,250,255,245.4,224.4
370,95607668269251,241.833,260.5,239.4,227.4
371,95607683956764,236.909,264.364,234.25,229.75
372,95607699751386,230.588,269.176,228.8,232.8
373,95607715297014,226.091,272.545,223.4,236.2
374,95607731052783,220.8,276.3,218.25,240
375,95607763442712,214.333,280.889,212.75,244
376,95607778388994,210.182,284.455,208,247.5
377,95607793859103,206,288,204.25,251
378,95607809486865,201.333,290.667,200.25,253.75
379,95607825329790,197.667,292.333,196.5,256
380,95607857265849,194.5,294.5,193.5,258
381,95607872809938,191.5,296.5,191,259.667
382,95607886809222,190,297.5,189,260.5
383,95607903502539,186.5,297.8,187,262
384,95607918165321,184.462,298.154,186.5,261.5
385,95607933735114,182.615,298.385,186,261
386,95607949719978,181,300,185.5,261.5
387,95607965943684,179.667,296.667,186,261
388,95607996196806,180,295.5,185.667,260.667
389,95608012775832,177.667,294.333,186.333,259.667
390,95608027645002,178.75,292.917,187,258.5
391,95608043147403,178.438,292.25,188,257
392,95608058922909,177.833,291.333,189,256.5
393,95608074459573,177.333,289.667,190,255.5
394,95608090972746,178.5,288.1,191,254.5
395,95608106209386,178.357,286.286,192.333,253.333
396,95608136789559,180,284.6,193.5,251.5
397,95608153312830,179,283.5,195.333,250.333
398,95608168696323,182,281.5,197.333,248.333
399,95608184889303,184,280,198.667,247.667
400,95608199745972,184,278,200.5,246
401,95608215334584,184.7,274.7,202.667,243.667
402,95608247034744,185.286,272,204.333,242.333
403,95608262700036,187.571,270,206.333,240.333
404,95608278380529,188.933,268.533,208.333,238.333
405,95608293229611,190.625,266.25,210.333,236.333
406,95608309937373,191.5,264.5,212,234.5
407,95608324565352,193.333,262.667,214,233
408,95608340385111,195.5,260.5,215.5,231.5
409,95608356053508,197.5,260.5,217.333,230.333
